,title,year,rating,content,link
289,290. The Challenge: USA,2022–,"7.2
 (605)","Contestants from the CBS reality shows ""Big Brother,"" ""Survivor,"" ""Love Island"" and ""The Amazing Race"" compete in games and missions for a cash prize.",https://www.imdb.com/title/tt20770542/?ref_=sr_t_290
290,291. Running Wild with Bear Grylls,2014–,"7.6
 (3K)","British adventurer, takes A-list celebrities on wild outdoor adventures, pushing them beyond their comfort zone.",https://www.imdb.com/title/tt3816666/?ref_=sr_t_291
291,292. The Circle,2018–2021,"7.0
 (1.3K)",The original British version of the reality television format in which people from all walks of life compete in a popularity contest via a social media platform to win a cash prize.,https://www.imdb.com/title/tt8430234/?ref_=sr_t_292
292,293. The Parisian Agency: Exclusive Properties,2020–,"7.6
 (1.1K)",A reality series about the family Kretz who sells apartments to rich customers in France and the rest of the world.,https://www.imdb.com/title/tt14746934/?ref_=sr_t_293
293,294. Restaurant: Impossible,2011–,"6.8
 (2.2K)","Turning around a failing restaurant is a daunting challenge under the best of circumstances. Attempting to do it in just two days with only $10,000 may be impossible, but that's exactly what Chef Robert Irvine sets out to do in his new Food Network show, Restaurant Impossible. Robert will use a little MacGyver and a lot of muscle to rescue these desperate places from complete collapse. Can one man, in two days, with $10,000, turn the tide of a failing restaurant and give hope to the owners and their employees? Find out as Robert Irvine takes on Restaurant: Impossible.",https://www.imdb.com/title/tt1771742/?ref_=sr_t_294
294,295. Baddies East Reunion,2024–,"8.9
 (20)","Natalie Nunn and the original Baddies join forces with newcomers Sukihana and Sky, aiming to dominate the East Coast with their bold presence.",https://www.imdb.com/title/tt31259611/?ref_=sr_t_295
295,296. Mythbusters Jr.,2019,"7.2
 (347)","The nation's most talented kids have a chance to show off their amazing ingenuity and STEAM (Science, Technology, Engineering, Arts, and Math) skills.",https://www.imdb.com/title/tt8265286/?ref_=sr_t_296
296,297. Roadkill,2012–2024,"8.7
 (283)","Ride along with HOT ROD's David Freiburger and Mike Finnegan on ROADKILL, as the dynamic duo go in search of their next gearhead adventure in all types of gassers, 'barely-legal' street machines and highly strung performance vehicles.",https://www.imdb.com/title/tt6953640/?ref_=sr_t_297
297,298. Boston's Finest,2013–,"6.6
 (393)",Officers of the Boston Police Department live in the city they protect and work to balance fighting crime with finding time for family.,https://www.imdb.com/title/tt2724068/?ref_=sr_t_298
298,299. The Great British Sewing Bee,2013–,"7.8
 (676)",Amateur sewers take on challenges as they compete to be named Britain's best home sewer.,https://www.imdb.com/title/tt3010856/?ref_=sr_t_299
299,300. Iron Chef America: The Series,2004–2018,"7.1
 (2.3K)",America's chefs battle the food wizardry of the resident Iron Chefs.,https://www.imdb.com/title/tt0441718/?ref_=sr_t_300
300,301. Living for the Dead,2023–,"6.4
 (1.8K)",Five amazing gay ghost hunters travel the country saving the living by repairing the dead.,https://www.imdb.com/title/tt28754301/?ref_=sr_t_301
301,302. Naked News,1999–,"6.6
 (859)",Female anchors strip fully naked as they present the news.,https://www.imdb.com/title/tt0249044/?ref_=sr_t_302
302,303. Love Island Games,2023–,"6.5
 (249)","Maya Jama from Love Island UK hosts former Islanders from across the globe as they return to the tropical villa for a second chance at finding love, going head to head in challenges and winning a $100,000 prize.",https://www.imdb.com/title/tt29380987/?ref_=sr_t_303
303,304. Instant Dream Home,2022–,"6.4
 (1.2K)",A team of rapid-fire renovators takes big risks and makes painstaking plans to transform families' homes from top to bottom in just 12 hours.,https://www.imdb.com/title/tt21107788/?ref_=sr_t_304
304,305. Lucky Dog,2013–,"8.5
 (325)","Shelter dogs are rescued, trained and placed in new forever homes.",https://www.imdb.com/title/tt3220976/?ref_=sr_t_305
305,306. The Real L Word,2010–2012,"6.0
 (1.2K)","A nine episode one-hour series that follows a group of real-life Los Angeles lesbians as they go about their daily lives, at work and play.",https://www.imdb.com/title/tt1561756/?ref_=sr_t_306
306,307. Be My Guest with Ina Garten,2022–,"7.7
 (69)","Barefoot Contessa invites some friends to her home in East Hampton. For a day of conversation, connection, food and fun visits to some of her favorite local spots.",https://www.imdb.com/title/tt18270066/?ref_=sr_t_307
307,308. Legendary,2020–2022,"8.1
 (2K)","Divas will battle on voguing teams called ""houses,"" with the chance to win a cash prize in ballsy fashion and dance challenges to ultimately achieve ""Legendary"" status.",https://www.imdb.com/title/tt11048090/?ref_=sr_t_308
308,309. The Last Cowboy,2019–,"6.8
 (219)",Horse trainers compete in the high-stakes world of professional reining.,https://www.imdb.com/title/tt10521222/?ref_=sr_t_309
309,310. Alaskan Killer Bigfoot,2021–,"6.0
 (668)","Alaskan natives were driven from their village 70 years ago by a creature they believed to be a bigfoot. No one has been back. Because of dwindling resources, they have sent a scouting party to see if it's safe.",https://www.imdb.com/title/tt16369040/?ref_=sr_t_310
310,311. FETCH! with Ruff Ruffman,2006–2010,"7.3
 (1.1K)","Kids compete in challenges in this game show, hosted by an animated dog.",https://www.imdb.com/title/tt0496195/?ref_=sr_t_311
311,312. Cal Fire,2021–,"8.2
 (57)",First-hand look at some of California's most destructive fires including the Apple Fire near the Cherry Valley neighborhood in Southern California.,https://www.imdb.com/title/tt13836312/?ref_=sr_t_312
312,313. Not Safe with Nikki Glaser,2016,"6.9
 (716)","Not Safe with Nikki Glaser is a free-form venue where comic and curious perv Nikki investigates sex and relationship topics through a mix of panel discussions, field pieces and social experiments.",https://www.imdb.com/title/tt4918098/?ref_=sr_t_313
313,"314. Dr. Oakley, Yukon Vet",2014–,"8.4
 (738)","Dr. Oakley is the only vet in her area of the Yukon. She treats domestic pets, endangered wildlife, farm animals--basically anything that walks on fours, crawls, flies. All of that- plus she's a wife and a mom of three girls.",https://www.imdb.com/title/tt3593456/?ref_=sr_t_314
314,315. Hotel Hell,2012–2016,"7.1
 (5.1K)","Chef Gordon Ramsay visits struggling, disfunctional hotels across America and spends a week trying to help them become successful.",https://www.imdb.com/title/tt2242025/?ref_=sr_t_315
315,316. My Kitchen Rules,2010–,"7.0
 (982)","My Kitchen Rules is an Australian reality television cooking competition that first aired on the Seven Network in 2010. In each series, several teams of two compete against each other for the chance to win a cash prize.",https://www.imdb.com/title/tt1626459/?ref_=sr_t_316
316,317. Siren: Survive the Island,2023–,"8.0
 (2.6K)","24 female police officers, firefighters, bodyguards, soldiers, athletes and stuntwomen team up by profession to compete for survival on a remote island.",https://www.imdb.com/title/tt27664503/?ref_=sr_t_317
317,318. Dual Survival,2010–2016,"7.4
 (3.4K)","Two survival experts, with very different mindsets, pair up and use their tactics to collaborate and overcome the challenges they face.",https://www.imdb.com/title/tt1673441/?ref_=sr_t_318
318,319. Baddies South,2022–,"7.2
 (297)","The Baddies are back, but this time with some new ladies looking to take the entire Dirty South by storm - in a big ass, decked-out tour bus.",https://www.imdb.com/title/tt21045744/?ref_=sr_t_319
319,320. The Final Table,2018,"7.6
 (4.8K)",Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.,https://www.imdb.com/title/tt7619858/?ref_=sr_t_320
320,321. Escape to the Chateau,2016–2022,"8.6
 (1.9K)","British engineer Dick Strawbridge and his wife Angel buy a rundown French chateau. The series shows them over the course of a year, as they restore the building that has stood empty for 40 years.",https://www.imdb.com/title/tt6249614/?ref_=sr_t_321
321,322. Summer Baking Championship,2023–,"7.2
 (65)",Jesse Palmer invites 10 of America's top bakers to face off in the ultimate summer baking competition.,https://www.imdb.com/title/tt27762890/?ref_=sr_t_322
322,323. Queer Eye,2003–2007,"6.4
 (2.5K)",Five gay men try to improve the lives and confidence of straight men by giving them makeovers and advice.,https://www.imdb.com/title/tt0358332/?ref_=sr_t_323
323,324. Portals to Hell,2019–2022,"6.3
 (1.1K)",Jack Osbourne and paranormal researcher Katrina Weidman search for ghosts.,https://www.imdb.com/title/tt9812514/?ref_=sr_t_324
324,325. The Apprentice UK,2005–,"7.1
 (3.5K)","20 young entrepreneurs compete in several business tasks, and must survive the weekly firings in order to become the business partner of one of the most successful businessmen.",https://www.imdb.com/title/tt0450897/?ref_=sr_t_325
325,326. Patti Stanger: Millionaire Matchmaking,2024–,"6.5
 (20)",Follows Patti Stanger as a matchmaker in a dating setting to help people in finding their ideal match.,https://www.imdb.com/title/tt27799409/?ref_=sr_t_326
326,327. Down for Love,2022–,"8.0
 (752)","A heartwarming quest for love, this feel-good reality show follows several people with Down syndrome as they navigate the trials and triumphs of dating.",https://www.imdb.com/title/tt28365137/?ref_=sr_t_327
327,328. Little Big Shots,2016–2020,"7.1
 (534)","Little Piano Man A 9-year-old piano player, yodeller, rock band, orchestra-conductor, jazz singer, and 6-year-old dancer.",https://www.imdb.com/title/tt5347876/?ref_=sr_t_328
328,329. Paranormal Lockdown,2016–,"7.1
 (1.9K)",Renowned Paranormal Investigators spend 72 hours locked down in haunted locations to try to capture groundbreaking evidence.,https://www.imdb.com/title/tt5512658/?ref_=sr_t_329
329,330. Treehouse Masters,2013–,"7.2
 (1.6K)",A man builds one-of-a-kind treehouses.,https://www.imdb.com/title/tt2838492/?ref_=sr_t_330
330,331. The Prank Panel,2023,"6.1
 (477)","An irreverent show where ordinary people throw pranks at friends, family and co-workers with a panel of the world's best pranksters.",https://www.imdb.com/title/tt23161752/?ref_=sr_t_331
331,332. Spillet,2024–,"8.0
 (141)","""Spillet"" is a social survival game about money, power and social relations. The players are brought to an unknown destination, without any knowledge about what they've signed up for. Here they will live and hope to avoid being eliminated.",https://www.imdb.com/title/tt30858486/?ref_=sr_t_332
332,333. Rick Steves' Europe,2000–2023,"8.6
 (686)",American travel authority Rick Steves guides viewers through his favorite European cities.,https://www.imdb.com/title/tt1243815/?ref_=sr_t_333
333,334. Relative Race,2016–,"9.1
 (247)","With their own DNA as a roadmap, and $25,000 on the line, four couples must race coast-to-coast and discover a different relative every day.",https://www.imdb.com/title/tt5761026/?ref_=sr_t_334
334,335. Cake Boss,2009–,"6.6
 (3.3K)","The staff at Carlo's Bakery in Hoboken, N.J., led by Buddy Valastro, shows how he prepares elaborate themed cakes for various occasions.",https://www.imdb.com/title/tt1444382/?ref_=sr_t_335
335,336. Ed Stafford: First Man Out,2019–,"8.1
 (376)","Expect blood, tears and heart-in-mouth action as explorer Ed Stafford takes on the best explorers in the world in a battle across Discovery's screens in order to be the First Man Out - a show in which survival is only half the battle.",https://www.imdb.com/title/tt9558734/?ref_=sr_t_336
336,337. Scream Queens,2008–2010,"7.4
 (843)",Ten unknown actresses compete for a role in a horror movie from Lionsgate Films.,https://www.imdb.com/title/tt1248289/?ref_=sr_t_337
337,338. Long Lost Family,2011–,"8.2
 (258)",This series helps people reunite with long-lost family members. Investigators pick up the search when the trail has gone cold.,https://www.imdb.com/title/tt1932099/?ref_=sr_t_338
338,339. Project Fear,2023–,"8.4
 (204)","Dakota, Chelsea, Tanner, and Alex rule out the option of ending their terrifying road trips and continue their paranormal investigations by uncovering some of the most haunted places in all of America and the world.",https://www.imdb.com/title/tt27582860/?ref_=sr_t_339
339,340. Bloody Game,2021–,"7.9
 (51)",Competitors in pursuit of a cash prize live together in a secret house and face a series of challenges with no contact from the outside world. They must use stratagems and alliances to avoid eviction.,https://www.imdb.com/title/tt19372622/?ref_=sr_t_340
340,341. Good Sex,2022,"7.7
 (42)","With sensual caresses, kinky toys and new techniques, Sex Coach Caitlin V helps real-life couples discover how to have mind-blowing sex. Exploring their deepest sexual desires, couples find intense intimacy in the bedroom.",https://www.imdb.com/title/tt22034390/?ref_=sr_t_341
341,342. Kids Baking Championship,2015–,"7.2
 (574)",The best 10 to 13-year-old bakers compete against each other for the title of Kids Baking Champion.,https://www.imdb.com/title/tt4328676/?ref_=sr_t_342
342,343. Four in a Bed,2010–,"7.0
 (325)","Daytime version, this time featuring four Bed & Breakfast owning couples, one venue each day of the week, with the final day reserved for feedback debates and announcement of the winner.",https://www.imdb.com/title/tt2632434/?ref_=sr_t_343
343,344. Wahlburgers,2014–2019,"6.7
 (1.7K)",A look at the personal and professional life of Boston chef Paul Wahlberg and his real-life entourage as he prepares to expand his hamburger restaurant business.,https://www.imdb.com/title/tt3333880/?ref_=sr_t_344
344,345. The Boulet Brothers' Dragula,2016–,"8.1
 (1.6K)","The Boulet Brothers host a reality series to reveal the World's next Dragula Supermonster. Each drag artist vies for the title and crown through a series of challenges to unveil their best drag, filth, horror and glamour.",https://www.imdb.com/title/tt6289132/?ref_=sr_t_345
345,346. Celebrity Hunted,2017–,"6.5
 (207)",Celebrity participants go on the run and try to avoid their hunters to raise money for the Stand Up To Cancer charity.,https://www.imdb.com/title/tt7494340/?ref_=sr_t_346
346,347. Farming for Love,2023–,"6.2
 (29)","5 young Canadian farmers, all from different farming specialties, meet prospective partners & choose if they wish to pursue a romance. Over time, eliminations occur, with the aim of finding the ultimate partner.",https://www.imdb.com/title/tt21072046/?ref_=sr_t_347
347,348. Pit Bulls and Parolees,2009–,"8.1
 (1.5K)","The Villalobos Rescue Center is the largest pit bull rescue in the USA, now located in New Orleans, LA. This show shows the interaction of the dog and man; About pets and people that no one wants.",https://www.imdb.com/title/tt1538145/?ref_=sr_t_348
348,349. Teen Mom: The Next Chapter,2022–,"6.0
 (88)","Follows the moms of ""Teen Mom OG"" and ""Teen Mom 2"" franchise, as they deal with the reality of parenthood as each are in many different stages.",https://www.imdb.com/title/tt21663658/?ref_=sr_t_349
349,350. The Ultimatum: Queer Love,2023–,"6.8
 (1.2K)","Follow couples of women and non-binary people over eight weeks, as they find themselves at a critical point in their relationship, one, ready for marriage and the other one not.",https://www.imdb.com/title/tt22326484/?ref_=sr_t_350
350,351. Antiques Road Trip,2010–,"7.1
 (299)",Two antiques experts compete against each other over five days buying antiques and selling them in five auctions. The programme is done in a light hearted fashion with all profits going to charity.,https://www.imdb.com/title/tt4353976/?ref_=sr_t_351
351,352. Scare Tactics,2003–2013,"6.7
 (2.6K)","The show, just the latest in a string of ""reality based programming"" will feature ""Candid Camera"" like stunts inspired by scenes from Science fiction television programs and movies. The ""victims"" will witness alien abductions, hauntings, and various other X-Philean type gags and their reactions will be chronicled here on this series.",https://www.imdb.com/title/tt0339968/?ref_=sr_t_352
352,353. The Great Canadian Pottery Throw Down,2024–,"7.5
 (98)","10 amateur potters take on challenges to create beautiful pieces. Each episode will consist of two creative challenges that test their skill and technique, with one eliminated each week.",https://www.imdb.com/title/tt29215305/?ref_=sr_t_353
353,354. LOL: Last One Laughing Canada,2022,"7.2
 (1K)","Jay Baruchel hosts the Canadian version of the international hit comedy series LOL: Last One Laughing. The six-part competition series pits 10 of the best comedic talents against each other in a showdown, where anything can happen.",https://www.imdb.com/title/tt14524842/?ref_=sr_t_354
354,355. The Lost Kitchen,2021–,"8.0
 (193)","Erin French is the owner of The Lost Kitchen, a historic mill turned restaurant in Freedom, Maine, population 722. Every year, hundreds of visitors from around the world make reservations not by phone or email, but by submitting postcards.",https://www.imdb.com/title/tt12259836/?ref_=sr_t_355
355,356. Tornado Chasers,2012–,"7.8
 (573)",Reed Timmer from the show Storm Chasers shows you the every day grind chasing tornadoes in the Central United States.,https://www.imdb.com/title/tt2949316/?ref_=sr_t_356
356,357. Kid Nation,2007,"7.1
 (1.8K)",A group of young kids are forced to the limits as they experience challenges without adults.,https://www.imdb.com/title/tt1039921/?ref_=sr_t_357
357,358. Tribunal Justice,2023–,"6.8
 (213)",Features a panel of three judges collectively adjudicating real cases.,https://www.imdb.com/title/tt19862726/?ref_=sr_t_358
358,359. Drag Race France,2022–,"8.3
 (1.6K)","France searches for the Next Drag Superstar as 10 drag queens compete in challenges demonstrating their charisma, uniqueness, nerve and talent.",https://www.imdb.com/title/tt20871052/?ref_=sr_t_359
359,360. Overhaulin',2004–,"6.8
 (1.6K)",People trick unsuspecting car owners into thinking their car was towed and instead fix them up.,https://www.imdb.com/title/tt0408409/?ref_=sr_t_360
360,361. Tanked,2011–2018,"6.5
 (2K)","Acrylic Tank Manufacturing, the biggest aquarium manufacturer in the US, creates over-the-top aquariums for a wide array of clients. Up to 50, 000 gallons in size, the tanks hold some of the world's most unusual and quirky fish.",https://www.imdb.com/title/tt1849622/?ref_=sr_t_361
361,362. In with the Old,2021–,"6.7
 (118)","Designers, builders and old-home enthusiasts in small towns and big cities across America re-imagine and transform abandoned structures by preserving their historical integrity while giving them new purpose.",https://www.imdb.com/title/tt15565986/?ref_=sr_t_362
362,363. Shipping Wars,2012–,"6.4
 (1.7K)","Show revolves around teams of independent heavy-duty moving companies bidding for the chance to transport unshipable items, from oversized loads to bulky packages and bizarre items.",https://www.imdb.com/title/tt2128103/?ref_=sr_t_363
363,364. Scott's Vacation House Rules,2020–,"8.0
 (132)",Real estate expert and contractor Scott McGillivray offers the ultimate roadmap to renovation and rental success in Scott's Vacation House Rules.,https://www.imdb.com/title/tt13310520/?ref_=sr_t_364
364,365. RuPaul's Drag Race UK vs the World,2022–,"7.0
 (1.9K)",Renowned queens from different Drag Race franchises compete in an international arena showcasing their country's finest drag in their bid to become the ultimate Drag Race Superstar.,https://www.imdb.com/title/tt16968320/?ref_=sr_t_365
365,366. Parking Wars,2008–,"6.9
 (741)","This TV show follows the Philadelphia Parking Authority (PPA). It is split into three segments impound lot, booting/towing, and ticketing.",https://www.imdb.com/title/tt1182156/?ref_=sr_t_366
366,367. Dallas Cowboys Cheerleaders: Making the Team,2006–,"6.8
 (625)",Reality show following the auditioning process and making of the annual Dallas Cowboys Cheerleading Squad.,https://www.imdb.com/title/tt0491758/?ref_=sr_t_367
367,368. The Amazing Race Canada,2013–,"7.7
 (587)","The Amazing Race Canada is a reality television competition between ten teams of two in a race around the world for $250,000 to 'amazing' locations.",https://www.imdb.com/title/tt3069720/?ref_=sr_t_368
368,369. Project Greenlight,2001–2023,"7.3
 (1K)",The second season of Matt Damon and Ben Affleck's movie making reality series goes a different route when it's two professionals realizing their vision on screen instead of just one: writer and director.,https://www.imdb.com/title/tt0299368/?ref_=sr_t_369
369,370. Small Town Potential,2023–,"7.6
 (49)",Davina Thomasula and Kristin Leitheuser help people who are ready to settle down and find the perfect home to renovate.,https://www.imdb.com/title/tt27075311/?ref_=sr_t_370
370,371. Cutthroat Kitchen,2013–,"7.3
 (2.2K)",Chefs are asked to overcome major obstacles and acts of sabotage in this reality competition.,https://www.imdb.com/title/tt2930446/?ref_=sr_t_371
371,372. Love Is Blind: Sweden,2024–,"6.5
 (593)","The unique dating experiment lands in Sweden as local singles seek true love and propose marriage, all before seeing each other in person.",https://www.imdb.com/title/tt23735438/?ref_=sr_t_372
372,373. Sort Your Life Out,2021–,"7.7
 (224)",Stacey Solomon and her team of experts help makeover Britain's cluttered homes. All of the homeowners possessions are taken to a warehouse where they will choose what to let go and what will return to their reorganised home.,https://www.imdb.com/title/tt14254752/?ref_=sr_t_373
373,374. Chrissy & Dave Dine Out,2024–,"6.0
 (146)","Chrissy and David with Joel will be ""cracking the restaurant scene wide open"" in Los Angeles. David helps chef while Chrissy and Joel will hold court in the front of house hosting an dinner party with delicious food and great conversation.",https://www.imdb.com/title/tt29319236/?ref_=sr_t_374
374,375. Master Distiller,2019–,"8.1
 (106)","Three competitors will faceoff each week in a series of challenges focused on making a specific type of spirit, including American whiskey, rum, gin, mountain brandy, and mezcal among others.",https://www.imdb.com/title/tt11852790/?ref_=sr_t_375
375,376. Dr. G: Medical Examiner,2004–2012,"8.5
 (771)",A Florida medical examiner takes viewers through puzzling cases while explaining procedures and conclusions.,https://www.imdb.com/title/tt0364314/?ref_=sr_t_376
376,377. The Why Files,2023–,"9.2
 (82)","Delve into the mystifying world of aliens, cryptids and government conspiracies with Andrew Gentile and co-host Heckle fish in this truth-seeking series.",https://www.imdb.com/title/tt29253256/?ref_=sr_t_377
377,378. All or Nothing: Manchester City,2018,"8.1
 (7.7K)",Legendary coach Pep Guardiola leads his premiership football team through the 2017/18 season.,https://www.imdb.com/title/tt7653274/?ref_=sr_t_378
378,379. Love After Lockup: Life After Lockup,2019–,"7.0
 (158)",It follows five couples featured on the original Love After Lockup.,https://www.imdb.com/title/tt10262696/?ref_=sr_t_379
379,380. Hollywood Houselift with Jeff Lewis,2022–,"8.4
 (600)","Jeff Lewis, balancing high-maintenance celebrities and ambitious home design projects while juggling his staff and personal life, which are all a work in progress.",https://www.imdb.com/title/tt14599926/?ref_=sr_t_380
380,381. The Cowboy Way: Alabama,2016–2020,"7.5
 (429)","In an INSP original series, three modern-day Alabama cowboys live by a code as important to them as it was to those who tamed the west.",https://www.imdb.com/title/tt6931486/?ref_=sr_t_381
381,382. The Glee Project,2011–2012,"6.7
 (3K)","A competition where 10 contenders compete each week for a role on the show ""Glee.""",https://www.imdb.com/title/tt1816993/?ref_=sr_t_382
382,383. Sam and Colby: The Paranormal,2015–,"8.4
 (54)","Two of some of the most famous paranormal investigators in modern times, investigate the most haunted and most demonic places known to man for the main reason of understanding what even is the paranormal.",https://www.imdb.com/title/tt22410240/?ref_=sr_t_383
383,384. Baking Impossible,2021,"7.1
 (1.5K)",Innovative bakers are paired with the brightest engineers to compete in designing and baking creations that are both delicious and made to survive intense engineering stress tests.,https://www.imdb.com/title/tt15171996/?ref_=sr_t_384
384,385. Stranded with My Mother-in-Law,2023–,"6.5
 (382)","To win a life-changing prize, couples embark on a journey to an earthly paradise and confront challenges with the assistance of their mothers-in-law.",https://www.imdb.com/title/tt27494436/?ref_=sr_t_385
385,386. Debbie Does Dallas... Again,2007,"6.8
 (108)",This story Is about a girl (debbie) who is on her road to achieve a record....in a not so decent manner,https://www.imdb.com/title/tt1675910/?ref_=sr_t_386
386,387. Playmate Playback,2015–2017,"6.4
 (68)","Magazine covers, parties, exclusive photo-shoots, behind-the-scenes confessions and more. Meet the latest Playmates of Playboy like never before.",https://www.imdb.com/title/tt7560942/?ref_=sr_t_387
387,388. Dating Naked Germany,2023–,"6.7
 (59)","""Dating Naked Germany"" is a reality TV dating show on Paramount+ [DE, AT,CH]. it's the german Version of Dating Naked (2014).",https://www.imdb.com/title/tt26229950/?ref_=sr_t_388
388,389. Roadkill Garage,2016–,"8.5
 (103)",David Freiburger and Steve Dulcich wrenching on Roadkill project cars and other things that meet the Roadkill vibe. They'll show you how to do the wrong things the right way.,https://www.imdb.com/title/tt12030356/?ref_=sr_t_389
389,390. Girls Gone Wild: Hottest Bus Scenes,2015,"7.4
 (44)",,https://www.imdb.com/title/tt5333648/?ref_=sr_t_390
390,391. Good Bones,2016–2023,"7.4
 (1.1K)",Mom and daughter flipping abandoned houses in Indianapolis.,https://www.imdb.com/title/tt5710198/?ref_=sr_t_391
391,392. Endurance,2002–,"7.9
 (335)","On Endurance, teams of boys and girls from across the United States will have to prove themselves in various challenges and missions to win the title of Endurance champions.",https://www.imdb.com/title/tt0369100/?ref_=sr_t_392
392,393. Bitchin' Rides,2014–,"7.7
 (465)",Dave Kindig and his crew in his Salt Lake City shop builds and restores classic vehicles from a '33 Ford Tudor to a '69 Camaro.,https://www.imdb.com/title/tt4574700/?ref_=sr_t_393
393,394. Love & Translation,2024–,"7.0
 (97)",Three American men and twelve international women are brought together on a remote paradise island for the chance to find romance. And here's the twist: neither the women nor the men speak English and can't use translators.,https://www.imdb.com/title/tt27497507/?ref_=sr_t_394
394,395. Total Divas,2013–2019,"6.5
 (1.9K)",Follow the lives of the WWE divas in their work and relationships.,https://www.imdb.com/title/tt3056472/?ref_=sr_t_395
395,396. North Woods Law,2012–,"7.8
 (470)","Danger and drama are around every bend for Maine's elite game wardens, who are followed in this series as they navigate the state's rugged terrain during a busy and risk-filled hunting season.",https://www.imdb.com/title/tt2204345/?ref_=sr_t_396
396,397. Hostage Rescue,2024–,"8.0
 (10)","Real-life stories of hostages in peril around the world, and the heroes who risk everything to save them.",https://www.imdb.com/title/tt31975922/?ref_=sr_t_397
397,398. Masterchef Goes Large,2005–,"6.6
 (1.1K)",Competition based series where amateur cooks progress through by successfully creating dishes that show off their technical skill and understanding of flavour. Guest judges include food critics and Michelin star chefs.,https://www.imdb.com/title/tt0805418/?ref_=sr_t_398
398,399. The Great Food Truck Race,2010–,"6.6
 (818)","A number of food trucks in a competition to see who earns the most money, with the lowest earning truck kicked off at the end of each episode.",https://www.imdb.com/title/tt1711420/?ref_=sr_t_399
399,400. The Incredible Pol Farm,2024–,"7.9
 (85)",The Pol's start a farm.,https://www.imdb.com/title/tt30396391/?ref_=sr_t_400
400,401. The Big Brunch,2022,"8.3
 (704)",Chefs are offered a chance to share their stories and business dreams while going head-to-head for a life-altering prize.,https://www.imdb.com/title/tt15824600/?ref_=sr_t_401
401,402. De verraders,2021–2024,"7.3
 (148)","Eighteen Dutch celebrities compete to find hidden treasure but three traitors among them sabotage the game. The contest of lies, manipulation and betrayal tests who can be trusted in this riveting adventure.",https://www.imdb.com/title/tt13915848/?ref_=sr_t_402
402,403. The American Barbecue Showdown,2020–,"7.2
 (1.7K)",Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,https://www.imdb.com/title/tt12938472/?ref_=sr_t_403
403,404. Live PD,2016–,"8.1
 (1.7K)",A live look inside the everyday calls of police officers across the nation.,https://www.imdb.com/title/tt6225166/?ref_=sr_t_404
404,405. Dr. Jeff: Rocky Mountain Vet,2015–,"8.9
 (682)",Follow Dr. Jeff and his crew as they take on some the wildest cases in their animal house of a hospital.,https://www.imdb.com/title/tt4796084/?ref_=sr_t_405
405,406. Theresa Caputo: Raising Spirits,2023–,"7.4
 (56)","Follows Theresa Caputo as she explores the next phase of her personal life and embarks on a tour, including sold-out shows in London.",https://www.imdb.com/title/tt29313331/?ref_=sr_t_406
406,407. Project Runway All Stars,2012–,"7.0
 (1.9K)",Past designers come back to compete for another chance to be the winner of Project Runway.,https://www.imdb.com/title/tt2076610/?ref_=sr_t_407
407,408. Seven Up!,1964,"7.9
 (4.4K)","In this the first installment, we get a chance to meet some of the individuals who took on the responsibility of the 7 Up project, 21-years-ago - Tony, Bruce, Suzi, Nick and Peter.",https://www.imdb.com/title/tt0058578/?ref_=sr_t_408
408,409. The Underdog: Josh Must Win,2024–,"7.4
 (116)","Can Nick Grimshaw, Vicky Pattison, Amber Gill and Pete Wicks secretly rig a reality show to make average guy Josh the winner among a polished cast of contestants? If Josh wins, everyone wins.",https://www.imdb.com/title/tt31911752/?ref_=sr_t_409
409,410. Top Chef Duels,2014–,"6.5
 (130)","In each episode, two chefs will face-off in three rounds of head-to-head battles testing their skill, creativity and speed. Rivalries will be intensified as ""Top Chef Duels"" ups the ante and allows the competing chefs to each pick one mini-duel based on the other's perceived weaknesses in the kitchen. The third and final challenge of each episode will decide who moves on to compete in the ultimate high-stakes season finale where 10 chefs will be confronted with split second decisions as they lay it all on the line in the greatest challenge of their careers. In the end, only one chef will earn bragging rights and win the $100,000 grand prize and a culinary adventure that will be featured in Food and Wine Magazine.",https://www.imdb.com/title/tt3778478/?ref_=sr_t_410
410,411. Magic for Humans,2018–2020,"7.2
 (3.8K)",Justin Willman performs magic tricks on the street.,https://www.imdb.com/title/tt8425308/?ref_=sr_t_411
411,412. Race Against the Tide,2021–,"8.2
 (55)","Ten teams of two world-class sand sculptors compete against each other to create extraordinary works of art made entirely out of sand, while the world's highest tide; New Brunswick's iconic Bay of Fundy, is their unstoppable ticking clock.",https://www.imdb.com/title/tt14933770/?ref_=sr_t_412
412,413. Iron Resurrection,2016–,"7.9
 (437)","It doesn't matter whether it's a busted out bike or a rusted out roadster, Joe Martin and his crew are hard at work giving vehicles another chance in life.",https://www.imdb.com/title/tt5696762/?ref_=sr_t_413
413,414. Iron Chef: Quest for an Iron Legend,2022–,"7.1
 (1K)","Features five new Iron Chefs who welcome Challenger Chefs to face off and cook up their best culinary creations to become the first ever ""Iron Legend.""",https://www.imdb.com/title/tt17216636/?ref_=sr_t_414
